,Unnamed: 0,Zestimate,Price,Rent Zestimate,Days On Zillow,Bathrooms,Bedrooms,Living Area,Home Type,Street Address,Zip,statusType,Mortgage,HOA,Zip_code,Violent_crime,Property_Crime,quality,commute_time,free_lunch,total_schools
286,286,1090200.0,3650,3298.0,2,2.0,3.0,1000.0,SINGLE_FAMILY,928 N 7th St,95112,FOR_RENT,29944.16,477,95112,43,54,Below Average,22.7,77.2,100.0
287,287,1256500.0,4800,4300.0,2,2.5,4.0,2199.0,SINGLE_FAMILY,429 S 22nd St,95116,FOR_RENT,34511.86666666667,482,95112,43,54,Below Average,24.4,84.7,100.0
288,288,1075700.0,3850,3864.0,2,2.5,4.0,1650.0,TOWNHOUSE,217 Laurel Grove Ln,95126,FOR_RENT,29545.89333333333,403,95112,43,54,Average,22.4,61.2,100.0
289,289,,3720,,2,2.5,2.0,1582.0,SINGLE_FAMILY,925 Font Ter,95126,FOR_RENT,,409,95110,43,53,Average,22.4,61.2,100.0
290,290,1525200.0,3650,3465.0,2,1.0,2.0,1688.0,SINGLE_FAMILY,1367 Sierra Ave,95126,FOR_RENT,41892.16,537,95112,43,54,Average,22.4,61.2,100.0
291,291,,2650,2650.0,2,2.5,2.0,987.0,APARTMENT,516 Martha St UNIT 114,95112,FOR_RENT,,483,95112,43,54,Below Average,22.7,77.2,100.0
292,292,939300.0,3000,3149.0,2,1.0,2.0,900.0,SINGLE_FAMILY,538 Rutland Ave,95128,FOR_RENT,25799.44,354,95112,43,54,Average,22.2,61.4,60.0
293,293,,2650,2414.0,0,2.0,2.0,900.0,APARTMENT,239 Shadow Dance Dr,95110,FOR_RENT,,536,95112,43,54,Below Average,21.8,76.4,100.0
294,294,,1950,1999.0,0,1.0,1.0,560.0,APARTMENT,281 Stonegate Cir,95110,FOR_RENT,,537,95112,43,54,Below Average,21.8,76.4,100.0
295,295,838400.0,2499,3266.0,0,1.0,2.0,900.0,SINGLE_FAMILY,1299 Locust St,95110,FOR_RENT,23028.05333333333,522,95112,43,54,Below Average,21.8,76.4,100.0
296,296,,2495,2422.0,3,1.0,2.0,766.0,APARTMENT,738 S 10th St APT 2,95112,FOR_RENT,,481,95112,43,54,Below Average,22.7,77.2,100.0
297,297,,2100,,4,1.0,2.0,600.0,APARTMENT,455 S 8th St #1A,95112,FOR_RENT,,380,95112,43,54,Below Average,22.7,77.2,100.0
298,298,,1995,,5,1.0,0.0,600.0,APARTMENT,210 S 1st St #503,95113,FOR_RENT,,383,95112,43,54,Poor,21.2,70.38427835051591,91.18994845360824
299,299,,1700,2218.0,5,1.0,0.0,524.0,APARTMENT,210 S 1st St UNIT 208,95113,FOR_RENT,,386,95112,43,54,Poor,21.2,70.38427835051591,91.18994845360824
300,300,,1695,1794.0,5,1.0,1.0,676.0,APARTMENT,542 S 4th St APT 6,95112,FOR_RENT,,394,95112,43,54,Below Average,22.7,77.2,100.0
301,301,769600.0,850,1846.0,7,1.0,1.0,2700.0,CONDO,699 S 9th St,95112,FOR_RENT,21138.346666666668,482,95112,43,54,Below Average,22.7,77.2,100.0
302,302,745100.0,1595,1664.0,11,1.0,1.0,,APARTMENT,121 Graham Ave APT 3,95110,FOR_RENT,20465.413333333334,391,95110,43,53,Below Average,21.8,76.4,100.0
303,303,,1895,2121.0,21,1.0,2.0,750.0,APARTMENT,576 S 5th St #26,95112,FOR_RENT,,387,95110,43,53,Below Average,22.7,77.2,100.0
304,304,,2095,1865.0,17,1.0,2.0,725.0,APARTMENT,195 E Reed St APT 1,95112,FOR_RENT,,364,95112,43,54,Below Average,22.7,77.2,100.0
305,305,,1700,1813.0,36,1.0,1.0,600.0,APARTMENT,91 E Virginia St,95112,FOR_RENT,,504,95112,43,54,Below Average,22.7,77.2,100.0
306,306,,1995,2366.0,642,2.0,2.0,800.0,APARTMENT,780 S 11th St,95112,FOR_RENT,,448,95126,32,45,Below Average,22.7,77.2,100.0
307,307,,1840,1845.0,11,1.0,1.0,680.0,APARTMENT,634 S 11th St #X6DJUH3BA,95112,FOR_RENT,,513,95112,43,54,Below Average,22.7,77.2,100.0
308,308,1060600.0,2680,1924.0,11,2.0,2.0,1772.0,APARTMENT,651 S 12th St,95112,FOR_RENT,29131.14666666667,512,95110,43,53,Below Average,22.7,77.2,100.0
309,309,,1495,,13,1.0,0.0,400.0,APARTMENT,603 S 1st St APT 7,95110,FOR_RENT,,536,95112,43,54,Below Average,21.8,76.4,100.0
310,310,,1850,,14,1.0,1.0,650.0,APARTMENT,469 S 7th St APT 1,95112,FOR_RENT,,358,95112,43,54,Below Average,22.7,77.2,100.0
311,311,,2275,,19,2.0,2.0,900.0,APARTMENT,555 S 10th St APT 26,95112,FOR_RENT,,430,95116,47,56,Below Average,22.7,77.2,100.0
312,312,,1300,1579.0,20,1.0,0.0,300.0,APARTMENT,606 S 12th St #2,95112,FOR_RENT,,443,95126,32,45,Below Average,22.7,77.2,100.0
313,313,,2700,2653.0,18,1.5,3.0,,APARTMENT,409 S 5th St #1,95112,FOR_RENT,,547,95126,32,45,Below Average,22.7,77.2,100.0
